income,employment_length,loan_amount,loan_interest_rate,credit_history_length,max_allowed_loan
60000,2,9000,6.62,13,101965
80000,13,14000,13.8,8,101966
100000,5,18000,10.59,4,101968
90000,0,15000,8.94,2,101968
90000,3,15000,15.28,2,101968
90000,4,15000,13.57,4,101968
90000,3,15000,16.35,3,101968
90000,2,15000,9.91,3,101968
70000,2,10000,9.88,9,101968
70000,2,10000,10.99,10,101968
70000,0,10000,11.71,10,101968
70000,6,10000,7.14,10,101968
70000,13,10000,5.79,7,101968
70000,4,10000,7.29,6,101968
92000,6,13000,7.88,4,101971
80000,6,10000,10.99,5,101972
80000,13,10000,7.88,10,101972
80000,12,10000,6.62,10,101972
80000,3,10000,13.16,9,101972
80000,3,10000,6.54,7,101972
80000,2,10000,6.62,8,101972
80000,3,10000,15.96,6,101972
80000,0,10000,10.95,8,101972
60000,1,6000,10.65,15,101972
60000,3,6000,7.51,12,101972
60000,4,6000,13.99,13,101972
60000,2,6000,13.49,11,101972
95000,3,12000,7.88,3,101974
95000,6,12000,6.03,3,101974
95000,3,12000,14.61,3,101974
95000,6,12000,7.88,4,101974
95000,1,12000,10.99,3,101974
95000,8,12000,13.49,4,101974
99996,6,8000,14.96,4,101976
72000,5,6000,15.37,10,101977
72000,0,6000,13.49,6,101977
72000,4,6000,11.99,6,101977
72000,14,6000,8.49,9,101977
72000,0,6000,10.65,5,101977
72000,11,6000,11.49,6,101977
95004,6,12000,9.63,3,101979
80000,4,6000,11.49,7,101979
80000,4,6000,7.9,9,101979
80000,7,6000,8.94,10,101979
80000,0,6000,6.76,8,101979
80000,11,6000,7.9,5,101979
80000,2,6000,5.42,6,101979
80000,0,6000,10.37,6,101979
80000,11,6000,12.42,10,101979
80000,4,6000,6.99,5,101979
80000,4,6000,15.62,6,101979
80000,1,6000,8.0,6,101979
100000,6,8000,7.14,3,101980
100000,2,8000,14.35,3,101980
100000,3,8000,13.98,2,101980
100000,6,8000,7.88,2,101980
90000,8,6000,6.03,3,101981
90000,8,6000,6.17,3,101981
90000,3,6000,12.42,3,101981
90000,5,6000,5.99,2,101981
90000,8,6000,6.99,2,101981
90000,7,6000,5.42,4,101981
90000,8,6000,9.99,2,101981
90000,8,6000,7.49,4,101981
90000,8,6000,6.03,3,101981
60000,0,3000,11.11,5,101981
60000,4,3000,14.27,8,101981
60000,6,3000,6.03,5,101981
60000,4,3000,11.49,9,101981
60000,0,3000,7.4,7,101981
60000,3,3000,7.14,6,101981
60000,3,3000,11.49,9,101981
60000,12,3000,11.99,9,101981
70000,12,3000,11.49,9,101984
70000,3,3000,6.76,8,101984
70000,0,3000,13.48,9,101984
70000,11,3000,9.91,8,101984
70000,0,3000,6.99,7,101984
70000,0,3000,11.48,7,101984
75000,12,3000,8.49,6,101985
75000,12,3000,5.42,7,101985
75000,11,3000,15.23,9,101985
75000,7,3000,12.69,9,101985
75000,12,3000,11.49,10,101985
75000,12,3000,13.49,8,101985
64500,8,1200,16.29,5,101989
62000,17,9600,13.57,12,101991
65000,3,7200,9.38,12,101992
60000,0,6000,12.18,11,101992
83000,11,10000,11.71,7,102023
58000,0,2350,9.63,12,102033
85000,3,4200,7.49,3,102034
81600,8,4000,5.79,2,102064
58380,8,3000,7.29,13,102064
85000,3,8400,12.21,3,102076
71400,13,5000,11.49,8,102079
66000,15,3500,11.71,5,102081
65000,5,4500,9.91,17,102093
73000,6,11000,7.88,9,102117
79400,12,9000,7.88,9,102133
77625,8,22000,9.91,7,102153
72000,5,8000,10.99,29,102157
68000,6,10000,6.62,10,102167
68000,17,10000,6.99,6,102167
80000,12,9800,15.33,10,102172
80000,12,9800,7.88,10,102172
74000,3,8800,10.0,5,102172
63500,3,4500,7.49,14,102173
102000,6,10000,6.92,4,102178
100000,0,7800,7.88,2,102181
65000,3,7000,13.35,17,102192
115000,0,30000,16.77,3,102210
91392,5,12000,5.42,2,102213
75000,4,14000,13.79,10,102213
58000,10,4500,11.89,14,102213
75000,9,6500,7.49,10,102227
65000,3,5000,11.49,5,102227
65000,17,5000,7.14,5,102227
65000,3,5000,6.99,10,102227
65000,4,5000,7.51,10,102227
65000,17,5000,7.51,9,102227
85000,3,4000,10.0,3,102234
79894,1,20000,11.83,20,102234
58800,5,6500,8.59,13,102250
95004,0,2225,10.95,4,102269
102000,7,15000,10.25,2,102272
102000,1,15000,12.84,4,102272
74000,5,5000,7.49,8,102279
75689,12,15000,11.36,9,102280
78000,2,3000,7.14,6,102285
78000,1,3000,9.32,5,102285
72000,9,2100,13.85,5,102287
83000,3,18000,10.99,10,102311
75000,5,6400,15.21,7,102327
96300,0,18000,7.88,4,102341
72500,15,10000,13.17,8,102344
82500,0,9000,7.49,7,102349
58000,7,9000,10.59,11,102350
72000,5,20000,10.38,10,102352
81600,2,20000,11.36,7,102358
86000,4,18000,10.99,5,102362
102000,9,20000,11.48,3,102366
100000,8,17600,16.07,3,102368
81000,10,11000,16.77,5,102371
60000,0,5600,6.92,12,102373
60000,0,5600,13.22,14,102373
63996,6,3200,15.23,7,102375
80000,8,5600,10.99,8,102380
90000,6,5600,5.42,4,102382
80000,2,1600,7.9,2,102390
65000,13,12000,7.49,14,102390
74778,13,6000,13.98,8,102406
87000,5,15000,10.62,5,102417
87000,11,15000,16.0,8,102417
87000,0,15000,7.88,6,102417
87000,7,15000,9.63,9,102417
87000,9,15000,10.59,9,102417
55000,5,4800,5.79,14,102423
55000,5,4800,12.69,14,102423
83004,7,5450,7.9,2,102436
105400,8,24000,11.66,3,102443
85000,15,25000,7.88,6,102453
83000,5,22000,12.73,10,102456
102000,9,25000,10.99,2,102460
79000,3,16000,14.35,5,102462
70000,0,13000,14.26,10,102462
75000,0,10000,11.49,9,102470
75000,14,10000,6.99,8,102470
75000,11,10000,15.31,6,102470
75000,14,10000,7.29,9,102470
75000,14,10000,9.63,6,102470
75000,13,10000,10.59,10,102470
75000,1,10000,9.91,10,102470
75000,14,10000,13.49,8,102470
75000,4,10000,13.47,9,102470
75000,2,10000,10.99,8,102470
75000,7,10000,7.14,5,102470
69996,10,6000,6.39,10,102470
65000,10,8000,6.62,5,102470
84996,6,8000,11.12,2,102472
84996,4,8000,14.46,3,102472
62000,4,6000,6.91,10,102473
90000,3,10000,12.21,4,102475
90000,9,10000,7.49,2,102475
90000,6,10000,9.91,2,102475
90000,9,10000,12.53,4,102475
90000,6,10000,12.61,3,102475
90000,9,10000,11.14,4,102475
90000,2,10000,7.88,3,102475
90000,2,10000,7.49,2,102475
90000,1,10000,13.22,3,102475
90000,4,10000,6.62,3,102475
90000,0,10000,5.79,2,102475
90000,7,10000,11.49,4,102475
70000,4,6000,11.89,9,102476
70000,3,6000,7.14,5,102476
70000,11,6000,7.9,10,102476
70000,0,6000,8.94,9,102476
70000,3,6000,7.9,8,102476
70000,1,6000,8.0,5,102476
70000,6,6000,7.49,9,102476
85000,10,8000,7.29,3,102477
85000,10,8000,7.29,4,102477
85000,5,8000,6.03,2,102477
75000,6,2500,7.66,10,102486
75000,7,2500,8.49,7,102486
68500,19,10500,16.32,5,102491
90000,0,1000,7.75,3,102493
67171,5,1600,11.12,7,102503
93000,11,23000,10.62,5,102509
78996,13,12000,15.05,8,102512
60000,5,14400,15.96,17,102553
84000,6,15000,7.49,7,102566
90000,10,14400,14.35,4,102569
100000,4,12400,6.17,2,102574
101000,2,8500,10.08,4,102580
82500,5,17000,7.66,5,102587
70000,9,15000,13.61,16,102590
74000,12,1000,9.63,5,102591
55000,6,3000,9.91,14,102593
65000,0,4000,12.68,17,102594
60070,2,5500,9.62,14,102599
87600,12,20000,13.49,9,102600
62000,5,12000,12.42,15,102659
88900,8,4000,11.48,4,102665
83500,2,14200,13.48,8,102667
98000,7,10000,7.9,4,102677
98000,3,10000,8.94,3,102677
98000,7,10000,11.71,3,102677
98004,3,10000,9.32,3,102682
74984,2,13500,9.38,10,102689
95000,6,35000,7.9,5,102696
85000,9,12000,9.99,6,102720
85000,3,12000,13.48,8,102720
85000,2,12000,13.49,10,102720
85000,2,12000,10.99,6,102720
85000,6,12000,9.88,9,102720
85000,2,12000,12.69,6,102720
85000,4,12000,9.91,6,102720
65004,5,11000,11.26,6,102720
95004,9,16000,5.99,4,102723
75000,7,6000,10.75,6,102728
75000,7,6000,5.79,5,102728
75000,4,6000,12.98,7,102728
84996,5,3500,7.68,3,102730
95000,0,6500,7.14,4,102731
95000,6,6500,10.99,2,102731
85000,3,3500,14.61,3,102735
86748,8,10000,10.51,4,102746
75000,25,12000,14.26,23,102747
68000,16,6000,9.63,9,102775
85000,0,7700,6.91,3,102777
54000,7,2500,8.9,11,102781
68004,16,6000,11.86,9,102782
70000,11,2200,10.99,10,102786
60000,3,10000,10.99,13,102790
60000,6,10000,10.25,13,102790
70000,8,12000,10.99,15,102791
91000,2,1800,10.75,2,102840
74400,9,5000,10.71,5,102859
80600,2,18000,7.9,9,102860
63000,12,8000,5.42,11,102871
70000,1,5600,6.62,10,102877
66560,12,3600,8.0,6,102877
96000,7,7500,8.49,4,102880
68000,2,2500,15.96,7,102885
68000,9,2500,7.4,9,102885
66504,11,3500,11.99,8,102887
72000,6,1500,15.31,9,102889
60000,8,7500,10.51,13,102891
59500,6,1200,10.59,10,102913
80000,14,25000,11.12,7,102949
80000,5,25000,10.36,7,102949
80000,15,21000,9.99,6,102955
80000,3,21000,7.9,10,102955
70000,4,16000,10.62,5,102957
102400,9,25000,13.8,3,102960
85584,1,4000,13.49,2,102964
85000,0,16000,7.9,6,102965
80000,0,13000,10.99,5,102967
80000,3,13000,11.48,7,102967
60000,2,8000,7.51,12,102967
60000,0,8000,11.89,11,102967
60000,2,8000,6.91,15,102967
60000,22,8000,6.54,15,102967
60000,7,8000,13.49,17,102967
60000,3,8000,12.99,11,102967
60000,0,8000,13.22,13,102967
90000,10,14000,7.14,2,102969
90000,9,14000,7.88,3,102969
70000,2,9000,6.62,7,102970
80000,4,9000,8.9,6,102973
80000,2,9000,9.63,5,102973
88824,8,3600,13.43,3,102974
100000,6,12000,8.94,2,102975
100000,1,12000,5.99,4,102975
100000,3,12000,6.91,3,102975
100000,0,12000,13.57,2,102975
100000,7,12000,8.59,4,102975
100000,5,12000,7.49,3,102975
100000,7,12000,11.49,2,102975
100000,1,12000,13.57,3,102975
100000,2,12000,11.86,2,102975
100000,7,12000,12.18,4,102975
100000,0,12000,8.94,3,102975
100000,0,12000,9.91,2,102975
100000,5,12000,6.92,2,102975
76000,3,7200,8.49,10,102975
60000,7,5000,10.37,14,102975
60000,4,5000,13.49,15,102975
60000,7,5000,10.62,15,102975
60000,1,5000,13.98,15,102975
60000,8,5000,6.99,14,102975
60000,3,5000,7.88,12,102975
60000,18,5000,10.65,17,102975
60000,3,5000,12.61,11,102975
60000,3,5000,10.74,16,102975
85000,0,7500,9.07,3,102977
85000,7,7500,7.88,3,102977
85000,0,7500,10.39,3,102977
72000,4,5000,17.99,10,102979
72000,2,5000,13.49,8,102979
80000,3,5000,6.17,9,102981
80000,3,5000,9.99,7,102981
80000,4,5000,13.98,10,102981
80000,4,5000,11.71,10,102981
80000,0,5000,10.59,6,102981
80000,11,5000,7.68,9,102981
80000,11,5000,7.29,9,102981
80000,8,5000,7.29,10,102981
80000,2,5000,13.49,7,102981
80000,7,5000,10.36,10,102981
80000,11,5000,10.0,10,102981
69996,0,2000,10.65,9,102981
100000,2,7000,12.68,4,102982
100000,6,7000,7.49,3,102982
90000,4,5000,10.99,3,102983
90000,8,5000,6.99,3,102983
90000,3,5000,7.9,2,102983
90000,0,5000,11.49,4,102983
90000,8,5000,7.88,3,102983
90000,3,5000,6.03,4,102983
60000,19,2000,9.99,9,102984
75000,4,2000,11.49,5,102987
75000,5,13225,10.99,9,102989
100000,5,2000,11.36,4,102991
100000,5,2000,5.42,4,102991
60000,6,5000,11.49,12,102993
94800,7,6000,10.99,3,103002
78000,13,10000,13.06,5,103071
87000,7,10000,11.36,3,103074
87000,3,10000,14.91,3,103074
63000,1,4000,11.14,8,103078
96000,8,7300,8.88,3,103080
66000,3,2500,11.71,8,103084
94500,6,15000,11.83,2,103094
69500,7,15000,9.51,7,103108
64424,1,9600,6.03,10,103108
73000,5,10000,11.99,8,103119
105000,0,12350,7.74,2,103126
75000,10,5600,11.86,7,103128
92000,11,21000,8.94,7,103161
96000,5,12000,13.23,4,103174
96000,6,12000,9.91,4,103174
96000,3,12000,11.99,4,103174
96000,5,12000,16.29,2,103174
96000,0,12000,13.49,2,103174
96000,1,12000,9.99,3,103174
90996,2,6000,9.99,4,103177
63996,9,2400,10.0,5,103177
78000,8,6000,6.99,7,103178
56004,3,6000,10.99,14,103178
84000,5,6000,12.69,4,103180
80000,3,4800,7.49,6,103181
90000,3,4800,7.9,4,103183
90000,5,4800,14.09,3,103183
90000,0,4800,7.49,2,103183
69600,11,1200,6.99,7,103190
90000,1,12000,9.99,21,103200
95000,11,25000,16.0,8,103207
85000,3,20000,12.41,10,103209
85000,9,20000,13.92,8,103209
85000,0,20000,12.73,8,103209
85000,1,20000,6.54,6,103209
95004,5,25000,15.62,9,103213
75000,2,13000,13.57,10,103215
75000,2,13000,7.88,10,103215
75885,8,3000,11.48,10,103224
55000,3,4000,16.77,13,103225
65000,2,4000,7.88,9,103229
95000,4,6000,7.9,4,103232
82500,0,4000,8.88,4,103234
79500,11,12000,14.74,8,103243
85500,3,20675,10.0,10,103258
78465,0,14400,11.48,5,103262
97750,8,14000,10.75,4,103272
64500,3,2500,8.94,12,103275
89028,8,3500,15.23,4,103319
87800,5,15175,21.74,10,103322
72500,3,9000,11.49,10,103346
63000,5,10000,5.79,14,103364
84000,5,10000,6.03,10,103373
84000,4,10000,10.99,5,103373
84000,11,10000,8.49,5,103373
84000,5,10000,8.0,10,103373
86000,6,8400,8.94,4,103376
104000,6,11000,9.32,2,103377
85000,12,7100,7.14,2,103378
96000,7,7000,7.51,2,103381
91000,8,5800,11.97,2,103382
70000,5,10000,7.9,20,103397
95950,3,16500,11.71,3,103405
71520,0,6000,13.11,20,103423
73200,5,10000,7.14,8,103429
65000,2,20000,13.92,15,103446
70000,6,19000,8.88,8,103452
75000,14,16500,13.57,8,103459
95000,10,20000,10.25,4,103463
95000,0,20000,7.9,4,103463
90000,11,18000,7.88,7,103464
70000,4,12000,12.53,9,103464
65000,6,7000,7.88,8,103472
80000,8,8500,13.43,7,103474
82300,1,3500,9.32,3,103475
62000,4,5000,10.38,7,103475
105000,6,12000,10.99,4,103476
105000,3,12000,8.49,4,103476
105000,6,12000,7.51,2,103476
90000,1,9000,12.53,3,103476
90000,9,9000,13.49,2,103476
90000,9,9000,11.49,2,103476
90400,9,9500,8.9,4,103476
85000,3,7000,10.99,2,103478
85000,4,7000,6.03,3,103478
85000,6,7000,7.88,3,103478
70000,4,5000,7.51,5,103478
70000,5,5000,13.06,7,103478
66000,11,10000,12.61,13,103511
93500,10,18000,8.49,2,103515
66996,4,7000,9.32,10,103516
67000,0,7000,7.14,10,103522
91200,10,15000,13.49,3,103528
80400,4,9000,7.14,5,103533
80400,13,9000,7.49,9,103533
76500,1,15000,10.95,5,103537
81504,6,2400,6.92,3,103542
76000,4,6625,5.42,6,103551
91224,10,15000,11.71,3,103559
74196,0,4000,11.26,7,103566
84000,2,14000,7.88,10,103567
71000,0,10000,11.89,10,103568
67870,2,5000,11.22,10,103569
78000,0,9500,10.36,9,103572
96339,8,12000,11.36,2,103581
68508,2,6000,13.57,9,103588
70000,6,14000,5.79,14,103590
77927,4,1600,13.61,5,103591
65000,6,5600,7.49,14,103593
65000,2,3000,8.49,17,103594
65000,2,3000,5.42,12,103594
60000,3,2000,13.49,11,103595
60000,29,2000,10.99,16,103595
60000,6,2000,13.49,14,103595
92500,4,12000,11.71,3,103598
83000,6,25000,14.83,9,103601
83000,8,25000,8.9,9,103601
55000,4,3600,10.99,13,103627
55000,6,3600,8.9,14,103627
91000,0,1000,11.71,2,103643
91000,0,1000,7.88,4,103643
85757,1,7800,7.74,4,103661
78465,1,14000,13.49,10,103662
82000,7,7000,5.99,8,103677
79820,4,16000,13.16,9,103692
75000,3,20000,13.06,5,103703
75000,7,20000,11.0,5,103703
95000,9,15000,11.12,4,103719
95000,5,15000,7.88,2,103719
95000,5,15000,6.03,2,103719
95000,9,15000,11.14,4,103719
95000,4,15000,7.29,4,103719
91080,4,19200,15.37,10,103721
91000,9,10000,8.49,2,103725
75000,4,5000,10.74,9,103729
75000,13,5000,6.03,7,103729
75000,6,5000,7.51,9,103729
75000,14,5000,12.42,9,103729
92000,12,25000,11.86,9,103756
76000,2,14000,10.65,5,103763
88000,4,15000,13.48,8,103767
60000,4,4200,14.22,16,103777
65000,3,8000,5.79,14,103792
65000,18,8000,6.62,13,103792
93200,8,8000,8.88,2,103819
61000,5,12000,12.99,17,103858
93000,10,17000,10.99,3,103866
60000,7,6500,5.42,13,103892
61000,3,15000,13.8,15,103902
75000,0,1075,11.11,5,103916
65338,17,7125,6.99,10,103921
93000,5,3000,7.12,4,103937
82116,10,2800,9.88,3,103937
84000,2,22000,10.62,8,103956
80000,5,20000,12.42,7,103956
80000,11,20000,11.71,5,103956
90000,1,22000,9.91,6,103958
70000,8,15000,10.0,9,103958
70000,6,15000,10.25,6,103958
70000,3,15000,7.14,10,103958
70000,3,15000,19.03,10,103958
70000,6,15000,13.49,8,103958
70000,14,15000,11.14,5,103958
70000,3,15000,7.14,9,103958
75000,3,16000,10.99,9,103960
80000,2,16000,11.12,8,103962
80004,1,20000,7.9,10,103962
60000,2,10000,12.53,16,103962
60000,2,10000,9.62,11,103962
60000,5,10000,7.9,13,103962
60000,5,10000,11.14,11,103962
60000,9,10000,12.99,15,103962
60000,0,10000,10.99,14,103962
60000,3,10000,7.88,13,103962
60000,3,10000,9.32,17,103962
60000,3,10000,12.42,11,103962
60000,0,10000,16.89,11,103962
60000,16,10000,7.88,17,103962
60000,4,10000,14.27,16,103962
120000,3,28000,7.49,2,103963
79000,7,14500,8.94,9,103964
85000,0,15000,13.49,10,103966
85000,6,15000,12.18,6,103966
85000,5,15000,5.79,5,103966
96000,8,16000,10.65,4,103968
80000,3,12000,12.42,10,103968
80000,4,12000,12.42,9,103968
80000,5,12000,10.38,10,103968
80000,13,12000,5.42,8,103968
80000,7,12000,11.99,8,103968
60000,2,7000,8.49,13,103969
60000,5,7000,9.99,17,103969
60000,5,7000,6.54,15,103969
60000,7,7000,6.91,15,103969
100000,7,16000,16.0,4,103970
100000,2,16000,10.25,3,103970
100000,1,16000,12.98,4,103970
90000,3,13000,10.74,3,103970
70000,7,8000,9.62,6,103971
70000,5,8000,11.49,6,103971
65000,5,6500,8.9,5,103973
80000,12,8000,5.99,8,103975
80000,0,8000,6.62,7,103975
80000,5,8000,11.71,8,103975
100000,2,11000,7.66,2,103976
100000,2,11000,10.74,2,103976
100000,3,11000,7.29,3,103976
100000,0,11000,14.26,4,103976
95000,8,10000,7.51,2,103976
95000,5,10000,15.23,3,103976
95000,2,10000,12.69,2,103976
95000,5,10000,10.99,4,103976
95000,4,10000,7.9,4,103976
95000,1,10000,11.71,2,103976
95000,6,10000,16.29,2,103976
95000,0,10000,8.94,3,103976
95000,0,10000,10.99,3,103976
85000,10,6500,9.91,3,103979
70000,8,4500,7.49,8,103979
95004,8,10000,7.51,3,103981
72000,5,4000,7.14,9,103981
72000,14,4000,8.59,7,103981
72000,14,4000,5.42,7,103981
72000,2,4000,10.37,5,103981
100000,5,6000,11.49,2,103983
100000,6,6000,8.9,3,103983
100000,2,6000,13.49,3,103983
80000,0,4000,11.83,5,103983
80000,4,4000,7.14,8,103983
80000,11,4000,5.42,7,103983
80000,0,4000,11.14,5,103983
86400,0,4000,12.69,3,103984
90000,8,4000,9.99,2,103985
90000,8,4000,13.85,2,103985
70000,5,22000,7.88,11,103988
75000,1,17500,11.58,20,103996
65000,2,3200,11.71,5,104031
84500,11,10000,7.49,7,104048
68000,8,11500,7.9,7,104064
72000,5,14000,10.25,14,104070
72000,8,7500,6.0,5,104073
72000,0,7500,10.95,5,104073
90000,4,8400,14.65,2,104077
94500,2,14000,10.65,4,104095
101000,7,12000,7.88,2,104125
98400,7,9000,6.62,2,104138
82500,1,7200,8.49,9,104152
82500,0,7200,8.9,8,104152
78000,5,12800,10.59,5,104166
68000,2,8000,7.88,9,104170
68000,17,8000,6.99,10,104170
58000,4,6000,7.51,12,104171
102000,7,8000,6.92,3,104180
78000,1,5000,15.96,9,104180
78000,7,5000,8.59,8,104180
78000,5,5000,12.69,5,104180
67000,16,3000,6.03,6,104182
82000,6,2400,19.91,3,104187
58500,4,4000,13.49,13,104202
75000,4,12000,7.51,8,104216
75000,0,12000,9.63,6,104216
75000,5,12000,7.51,5,104216
75000,3,12000,6.62,10,104216
75000,1,12000,11.89,9,104216
75000,1,12000,11.49,7,104216
75000,8,12000,6.03,5,104216
75000,3,12000,10.38,9,104216
75000,5,12000,10.75,6,104216
93000,3,12000,13.48,4,104223
93000,0,12000,7.29,2,104223
93000,9,12000,10.62,3,104223
93000,7,12000,13.48,2,104223
93000,9,12000,9.88,2,104223
55000,15,3000,6.62,11,104229
65000,3,3000,13.35,5,104232
65000,3,3000,10.75,7,104232
95000,7,5000,7.9,3,104234
95000,1,5000,6.03,4,104234
95000,7,5000,7.29,4,104234
95000,7,5000,10.99,3,104234
95000,1,5000,9.63,3,104234
95004,8,5000,8.59,4,104238
95004,1,5000,9.88,2,104238
85000,9,2000,9.32,2,104239
95000,0,19200,10.99,2,104264
78000,13,12700,12.69,5,104266
93080,4,7400,13.49,2,104275
105000,6,11200,12.69,4,104277
57504,9,1500,10.38,15,104302
75000,0,4400,5.99,8,104331
57996,5,7000,7.88,11,104343
72000,6,18000,7.9,5,104354
75000,3,15600,6.17,8,104360
102000,8,18000,8.94,3,104368
82500,13,11100,7.29,5,104371
84000,11,9000,16.0,10,104374
92000,8,6000,7.88,4,104381
92000,8,6000,7.51,2,104381
96000,0,6000,10.99,4,104382
100000,6,5600,7.14,4,104384
80000,5,3600,8.0,10,104384
80000,0,3600,7.74,8,104384
83000,10,3500,6.03,3,104385
90000,8,3600,7.51,4,104386
90000,0,3600,7.68,4,104386
65000,4,10000,13.47,15,104391
65000,5,10000,8.49,12,104391
63000,5,9000,11.49,16,104391
60000,3,6000,11.71,13,104392
60000,2,6000,10.59,14,104392
88900,6,20000,10.65,7,104420
95000,0,4800,10.99,4,104434
95000,10,19000,12.99,4,104464
90000,0,17000,11.11,8,104465
82500,12,11000,7.51,9,104471
82500,12,11000,11.71,8,104471
75000,2,8000,10.38,7,104473
75000,2,8000,7.51,6,104473
75000,7,8000,6.03,5,104473
75000,4,8000,13.57,9,104473
65000,11,6000,6.99,9,104474
80000,0,7500,11.71,6,104476
90000,3,8000,12.61,2,104478
90000,9,8000,9.91,4,104478
90000,0,8000,12.53,4,104478
90000,9,8000,14.79,2,104478
90000,9,8000,10.99,3,104478
90000,0,8000,14.65,2,104478
90000,7,8000,10.36,3,104478
90000,9,8000,12.42,4,104478
58650,21,4000,10.59,12,104479
85000,0,6000,5.99,3,104480
85000,3,6000,12.18,2,104480
85000,10,6000,13.43,4,104480
70000,3,4000,10.99,5,104480
90000,5,3500,5.99,2,104486
90000,8,3500,5.99,3,104486
59393,2,2400,13.49,14,104490
61400,5,6000,11.71,13,104492
79800,11,3200,10.65,9,104515
77940,3,16250,10.99,5,104517
77940,3,16250,10.99,8,104517
88560,11,15000,12.84,8,104523
66948,9,24000,10.62,6,104527
75000,3,4200,8.49,6,104531
111016,5,12000,13.11,4,104544
99600,6,5000,7.14,4,104544
99600,6,5000,6.39,3,104544
99600,6,5000,7.14,3,104544
99600,6,5000,5.42,3,104544
99600,6,5000,6.17,2,104544
108000,4,25000,10.74,3,104562
68000,4,11000,5.99,6,104564
72000,5,7000,11.86,9,104574
70000,0,13000,6.17,24,104596
90900,9,9000,6.91,2,104601
78000,9,24000,16.77,9,104649
99750,9,20000,6.54,3,104652
62000,8,10000,6.62,12,104663
62000,2,10000,9.99,16,104663
66901,13,9000,13.92,5,104699
95610,8,10000,9.99,4,104708
60000,6,9250,5.79,12,104713
84996,2,10000,7.29,6,104718
105000,8,16000,7.88,2,104721
85000,0,10000,7.49,10,104723
85000,11,10000,13.49,9,104723
85000,0,10000,5.79,8,104723
85000,3,10000,6.54,5,104723
85000,3,10000,13.24,10,104723
85000,12,10000,9.32,7,104723
85000,11,10000,13.61,9,104723
85000,4,10000,5.99,6,104723
85000,3,10000,12.18,7,104723
85000,4,10000,12.87,10,104723
85000,2,10000,10.99,10,104723
85000,1,10000,14.27,8,104723
85000,11,10000,7.49,6,104723
102500,6,8000,11.36,3,104730
75000,0,4000,9.99,5,104732
96000,2,20000,10.65,2,104763
60000,2,9200,7.29,12,104764
82000,12,10000,10.59,7,104772
80000,12,7200,11.71,10,104776
68000,16,4000,8.63,7,104780
90000,0,3200,13.22,4,104786
70000,2,10000,7.88,17,104791
70000,5,10000,7.9,15,104791
70000,7,10000,6.99,17,104791
70000,6,10000,11.71,16,104791
65000,2,7000,7.88,13,104792
65000,3,7000,13.99,14,104792
65000,3,17375,6.99,11,104813
63000,7,5400,11.49,10,104824
100000,2,5125,9.63,4,104859
78000,15,16000,7.88,6,104861
103250,1,19000,6.99,3,104867
109000,6,15000,6.91,2,104873
109000,6,15000,6.03,2,104873
89000,3,10800,7.88,2,104873
85000,10,5600,11.83,4,104881
97000,4,6625,13.22,2,104906
68000,4,12000,10.74,17,104950
60000,7,12000,11.11,16,104957
60000,5,12000,7.88,12,104957
60000,7,12000,7.9,15,104957
100000,5,25000,10.65,4,104959
90000,2,21000,10.0,7,104959
90000,1,21000,11.48,6,104959
75000,7,15000,15.99,8,104961
75000,6,15000,6.17,6,104961
75000,4,15000,8.9,10,104961
65000,18,12000,7.88,14,104961
65000,0,12000,13.57,11,104961
65000,6,12000,15.27,11,104961
80000,14,15000,8.49,7,104963
60000,4,9000,11.99,14,104964
100000,0,20000,13.22,4,104965
100000,9,20000,13.06,4,104965
100000,5,20000,10.25,2,104965
100000,9,20000,12.42,4,104965
96000,4,15000,6.03,4,104969
96000,1,15000,10.62,4,104969
80000,13,11000,6.92,9,104970
100000,3,15000,11.99,4,104971
100000,5,15000,7.49,4,104971
100000,1,15000,14.27,2,104971
100000,4,15000,11.49,2,104971
100000,0,15000,7.88,3,104971
100000,8,15000,11.49,4,104971
100000,4,15000,6.54,2,104971
100000,5,15000,10.75,4,104971
100000,5,15000,11.48,4,104971
100000,8,15000,11.49,2,104971
100000,5,15000,10.65,3,104971
100000,3,15000,11.58,4,104971
100000,5,15000,10.62,3,104971
100000,4,15000,12.04,3,104971
100000,5,15000,6.03,4,104971
100000,3,15000,11.86,2,104971
100000,6,15000,9.91,2,104971
100000,8,15000,10.75,4,104971
100000,5,15000,6.17,2,104971
100000,5,15000,7.88,2,104971
60000,14,6000,11.49,14,104971
60000,2,6000,10.59,11,104971
60000,1,6000,10.99,13,104971
60000,1,6000,13.49,11,104971
99996,2,10000,14.22,4,104972
99996,0,10000,7.14,3,104972
90000,5,12000,14.59,4,104972
90000,0,12000,10.74,2,104972
90000,6,12000,7.51,2,104972
90000,2,12000,10.99,4,104972
90000,5,12000,11.71,3,104972
90000,4,12000,6.62,2,104972
90000,2,12000,7.49,3,104972
90000,3,12000,11.49,3,104972
90000,6,12000,7.88,3,104972
90000,10,12000,10.74,3,104972
90000,7,12000,7.49,3,104972
90000,10,12000,7.88,4,104972
90000,0,12000,10.25,4,104972
90000,0,12000,6.92,4,104972
82000,12,9800,6.76,10,104972
70000,16,7000,7.51,8,104973
70000,3,7000,7.14,5,104973
70000,4,7000,7.9,6,104973
75000,4,7500,7.14,8,104974
100000,8,10000,12.87,2,104977
100000,0,10000,9.45,4,104977
100000,7,10000,7.51,3,104977
